Time,Unsmoothed Fres,Temp,Fres,dT/dt
0,1780.79,25.03,,
2,1803.24,24.75,,
4,1810.65,25.16,,
6,1805.87,24.96,,
8,1798.9,25.05,,
10,1802.88,25.19,,
12,1805.35,24.98,,
14,1802.04,25.16,,
16,1803.3,25.03,,
18,1804.8,25.11,,
20,1808.97,25.02,,
22,1808.73,25.27,,
24,1816.82,25.21,,
26,1799.87,25.15,,
28,1792.43,24.97,1802.976,0.005839285714285714
30,1809.97,25.16,1804.921333333333,0.006410714285713899
32,1800.25,25.06,1804.722,0.0014999999999997298
34,1806.09,24.92,1804.418,0.00014285714285689743
37,1805.55,24.79,1804.3966666666663,-0.005380062666821255
39,1813.13,25.19,1805.3453333333327,-0.0040565716233096506
41,1803.93,25.2,1805.415333333333,-0.0010247823174818354
43,1804.67,24.75,1805.37,-0.006403325258752969
45,1800.04,25.16,1805.236666666667,-0.003956403269755
47,1805.36,25.23,1805.374,-0.002465086066904535
49,1807.71,25.19,1805.568,-0.000746655157531527
51,1802.3,25.23,1805.1233333333328,8.955545964615502e-05
53,1804.86,25.14,1804.8653333333332,0.002882429360181908
55,1805.63,24.95,1804.119333333333,0.0028964577656677426
57,1804.01,24.95,1804.3953333333332,0.002549548557586585
59,1801.57,24.96,1805.0046666666665,0.00014735432016067386
61,1804.51,25.13,1804.640666666667,0.0024650687265705276
63,1807.3,25.06,1805.110666666667,0.002608216316583665
65,1806.99,25.23,1805.1706666666664,0.0027678571428570355
67,1804.68,25.13,1805.1126666666664,-0.000678571428571536
69,1804.23,25.27,1804.519333333333,0.0027321428571428423
71,1808.04,25.03,1804.7933333333333,0.003142857142857298
73,1809.22,25.06,1805.0966666666664,-0.002196428571428437
75,1804.39,24.99,1805.3866666666663,-0.0031071428571425516
77,1807.68,25.05,1805.541333333333,-0.0019642857142855774
79,1805.76,25.28,1805.4113333333328,0.0018035714285713623
81,1804.78,25.25,1805.5766666666664,0.0056071428571427785
83,1806.46,25.26,1805.6833333333327,0.008214285714286155
86,1803.76,25.26,1805.5586666666663,0.007809562492746865
88,1806.82,25.08,1805.746,0.004607520163580433
90,1807.81,25.19,1806.162,0.0028097789685197086
92,1805.21,25.09,1806.2086666666664,0.001738603831755322
94,1805.33,25.16,1806.0773333333327,0.0006730245231607401
96,1806.69,25.3,1806.0573333333332,0.0033777200389737837
98,1805.87,25.08,1806.1366666666663,0.0020257876564525137
100,1803.93,25.12,1806.1166666666663,0.0031128614587829944
102,1801.15,25.17,1805.657333333333,0.0018236440402727993
104,1805.12,24.95,1805.384,-0.0018855585831063725
106,1808.39,25.38,1805.6506666666664,-0.001371944505615585
108,1807.58,25.18,1805.644,-0.0030810448760882863
110,1805.28,25.25,1805.612,-0.0009434283766897526
112,1806.71,25.13,1805.7406666666664,-0.0005802483462920047
114,1808.48,25.05,1805.8753333333327,-0.0008214285714288496
116,1807.43,25.07,1806.12,-0.0004999999999999352
118,1803.35,25.08,1805.8886666666665,-0.0022857142857143566
120,1804.43,25.53,1805.6633333333327,0.003124999999999864
122,1806.95,25.19,1805.7793333333327,0.00224999999999988
124,1806.51,25.3,1805.858,0.0035714285714285774
126,1807.18,25.17,1805.8906666666664,0.005017857142857381
128,1802.91,25.27,1805.6933333333327,0.004803571428571399
130,1804.87,25.23,1805.756,0.004321428571428627
132,1805.89,24.98,1806.072,0.0012321428571430198
134,1806.08,25.59,1806.136,0.0029642857142860328
137,1802.64,25.31,1805.7526666666663,0.006116978066612335
139,1806.65,25.31,1805.6906666666664,0.006525048278995846
141,1802.82,25.17,1805.5266666666664,0.005922638981915568
143,1805.08,25.16,1805.418,0.003766240916097718
145,1807.26,25.13,1805.3366666666664,0.00019346049046292958
147,1804.95,25.1,1805.1713333333328,-0.003546606040922313
149,1805.22,25.27,1805.296,-0.0051801899007337246
151,1807.0,25.27,1805.467333333333,-0.0011329305135953126
153,1805.52,24.96,1805.372,-0.004832737901916318
155,1806.07,25.2,1805.3426666666664,-0.003874659400545122
157,1807.27,25.36,1805.3486666666663,-0.0026486456727594252
159,1805.72,25.2,1805.536,-0.0022371064969859836
161,1808.19,25.08,1805.7573333333328,-0.0037129387708737423
163,1806.88,25.42,1805.8233333333333,-0.0045038876639201565
165,1804.17,25.06,1805.696,-0.0014285714285716441
167,1806.88,25.37,1805.9786666666664,0.0022678571428572845
169,1808.13,25.23,1806.0773333333327,0.004107142857142652
171,1805.41,25.35,1806.25,0.005589285714285589
173,1809.27,25.24,1806.5293333333327,0.005232142857142828
175,1811.25,25.39,1806.7953333333332,0.006178571428571132
177,1808.69,25.11,1807.0446666666664,0.0027321428571430847
179,1809.05,25.13,1807.3,0.0019464285714286247
181,1805.84,25.39,1807.2226666666663,0.004660714285714148
183,1809.02,25.24,1807.456,0.0008571428571427173
185,1806.47,25.17,1807.4826666666663,-0.0008928571428571636
188,1807.5,25.46,1807.498,0.003415341766276048
