Time,Unsmoothed Fres,Temp,Fres,dT/dt
0,1803.97,25.07,,
2,1804.82,24.87,,
4,1805.78,24.92,,
6,1803.37,24.94,,
8,1803.57,24.91,,
10,1804.78,24.95,,
12,1802.08,24.86,,
15,1804.41,24.94,,
17,1805.81,24.96,,
19,1803.09,24.95,,
21,1801.46,24.88,,
23,1804.08,24.95,,
25,1804.24,24.92,,
27,1801.81,25.05,,
29,1805.59,24.89,1803.924,-0.00017695295640849973
31,1803.08,24.89,1803.8646666666664,0.001057161416044146
33,1803.61,24.87,1803.784,-0.00033787465940052957
35,1802.4,25.03,1803.5586666666668,0.0008181017397054724
37,1805.28,24.88,1803.686,0.0003064300066978861
39,1801.86,24.93,1803.572,5.963875951318304e-05
41,1802.94,25.04,1803.4493333333332,0.0017024486480213068
43,1806.09,24.89,1803.7166666666667,1.78571428567633e-05
45,1801.66,24.91,1803.5333333333333,-0.0003035714285715717
47,1806.69,24.91,1803.592,-0.00028571428571457506
49,1801.81,24.94,1803.5066666666664,5.357142857118475e-05
51,1801.7,25.0,1803.5226666666665,0.0001607142857146689
53,1804.58,24.98,1803.556,0.0008035714285711239
55,1805.8,24.92,1803.66,0.00021428571428603325
57,1802.52,24.93,1803.707333333333,0.0016071428571430189
59,1804.2,24.9,1803.6146666666664,0.0005535714285716103
61,1802.8,24.96,1803.596,0.00023214285714302714
64,1802.51,24.82,1803.5226666666665,-0.002294301961239517
66,1802.67,24.98,1803.5406666666668,-0.00039645575372030593
68,1806.06,24.98,1803.592666666667,-0.0005174146014739203
70,1803.44,24.93,1803.698,-0.0007492842986124895
72,1804.93,24.94,1803.8306666666667,0.0006103542234334571
74,1801.65,24.97,1803.534666666667,0.00048067554400787885
76,1803.71,24.86,1803.671333333333,-0.0008113940440226777
78,1804.55,24.93,1803.5286666666664,-0.0011960509279241504
80,1803.67,24.93,1803.6526666666664,-0.0012163039948034939
82,1801.48,24.86,1803.638,-0.0012261580381472596
84,1806.82,24.97,1803.7873333333332,2.5875357850893773e-05
86,1805.84,24.96,1803.79,0.00036336235766904536
88,1802.16,24.94,1803.766,0.000542996705668642
90,1803.2,24.91,1803.6993333333337,-9.632122548465544e-05
92,1803.26,24.93,1803.73,0.00037499999999991436
94,1806.2,24.86,1803.976,-0.001999999999999924
96,1802.63,24.95,1803.9733333333331,-0.0010357142857142373
98,1805.59,24.88,1803.942,-0.0008928571428572311
100,1800.43,25.01,1803.7413333333327,0.00033928571428573715
102,1805.9,24.96,1803.806,0.0009464285714284559
104,1804.2,24.91,1803.976,0.001321428571428394
106,1800.48,24.89,1803.7606666666663,-1.785714285699049e-05
108,1800.45,24.92,1803.487333333333,-3.571428571424522e-05
110,1805.14,24.85,1803.5853333333328,-0.0009107142857142204
112,1804.69,24.88,1803.7993333333332,-0.002267857142857208
115,1803.28,24.95,1803.5633333333333,-0.001157595450852911
117,1803.55,24.89,1803.4106666666669,-0.0009633079631945622
119,1804.46,24.94,1803.564,-0.0003064300066979583
121,1804.93,24.92,1803.6793333333333,-0.00031711076855315325
123,1806.15,24.9,1803.872,-0.00031880108991840807
125,1801.62,24.89,1803.5666666666664,-0.0013202338421564454
127,1799.23,24.95,1803.34,-0.0004628830384116012
129,1806.01,24.78,1803.368,-0.0025366853690116714
131,1804.42,24.87,1803.634,-0.00164826242286443
133,1804.33,24.95,1803.5293333333332,-0.000256130790190835
135,1804.4,24.93,1803.5426666666665,0.0002499449460470434
137,1800.72,24.88,1803.5586666666663,-0.00014233087742801292
139,1803.68,24.84,1803.774,-0.0005799159377484552
141,1803.8,24.95,1803.6846666666663,-0.0005732853661369697
143,1800.61,24.86,1803.4126666666664,-0.0014285714285715509
145,1803.34,24.83,1803.4166666666663,-0.0015892857142858158
147,1805.69,24.9,1803.5593333333327,-0.00151785714285734
149,1803.04,24.95,1803.4646666666663,-0.00012500000000006332
151,1803.25,24.95,1803.352666666667,0.000964285714285811
153,1805.56,24.92,1803.313333333333,0.0013392857142858166
155,1803.09,24.89,1803.411333333333,0.0011607142857142237
157,1806.7,24.93,1803.909333333333,0.002339285714285778
159,1802.99,24.85,1803.708,0.0001249999999999564
161,1800.72,24.96,1803.4613333333327,0.0004464285714286395
164,1801.61,24.91,1803.28,0.0011024718579552193
166,1806.37,24.85,1803.411333333333,0.0007701919800067664
168,1799.28,24.92,1803.3153333333328,0.0007853315472203755
170,1805.5,24.91,1803.4366666666665,7.322175732233835e-05
172,1802.61,24.96,1803.3573333333327,0.0013242506811993128
174,1806.47,24.9,1803.748,0.0006316986034426937
176,1800.03,24.96,1803.527333333333,0.000185045317220733
178,1802.69,24.91,1803.327333333333,-0.0001327147173068628
180,1801.23,24.93,1803.2066666666665,0.00043845404352074177
182,1803.54,24.9,1803.226,0.0007002724795639715
184,1804.8,24.86,1803.1753333333331,0.00017121779343731906
186,1801.49,24.89,1803.0686666666663,-0.0003281982585401938
188,1806.3,24.9,1803.042,-0.0001493808928775538
190,1804.23,24.85,1803.1246666666664,-0.001699547406289891
192,1804.64,24.92,1803.386,-0.0007857142857141934
194,1802.21,24.83,1803.426,-0.0016428571428571113
196,1802.43,24.87,1803.1633333333332,-0.0027142857142857823
198,1802.57,24.98,1803.3826666666664,-0.0014464285714285644
200,1801.53,24.86,1803.118,-0.0019285714285712967
202,1803.77,24.86,1803.195333333333,-0.0016071428571430894
204,1802.87,24.95,1802.955333333333,-0.0008392857142854233
206,1803.76,24.94,1803.204,0.0005714285714290282
208,1801.21,24.95,1803.1053333333327,0.0014285714285714524
211,1802.7,24.87,1803.2033333333331,0.0014401763954974794
213,1803.11,24.9,1803.1746666666668,0.0015330001135975021
215,1802.55,24.88,1803.0246666666667,0.0008372404554591121
217,1801.66,24.94,1803.0360000000005,0.0012634882184539577
219,1804.61,24.87,1802.9233333333336,0.0008910081743869816
221,1802.69,24.97,1802.820666666667,0.001099382916531211
223,1801.9,24.94,1802.638,0.0016821320673284814
225,1800.63,24.89,1802.5326666666665,0.0004445403539059775
227,1802.8,24.95,1802.5573333333332,0.00034101981162708945
229,1805.37,24.92,1802.744,0.001245231607629369
231,1802.74,24.96,1802.8246666666664,0.0010878661087867375
233,1804.7,24.84,1802.8866666666663,-0.0006748158070995864
235,1805.21,24.85,1803.0426666666667,-0.0010456662501417827
237,1800.6,24.89,1802.832,-0.0009069281652547014
239,1802.5,24.94,1802.918,0.00010714285714284335
241,1804.22,24.9,1803.0193333333327,-0.0005178571428571852
243,1801.86,24.85,1802.936,-0.0013928571428573878
245,1807.61,24.88,1803.2733333333333,-0.002089285714285367
247,1802.28,24.89,1803.3146666666669,-0.00180357142857123
249,1807.53,24.88,1803.5093333333332,-0.0025535714285712047
251,1803.69,24.95,1803.576,-0.0010178571428572044
253,1803.16,25.01,1803.66,0.0008749999999997876
255,1800.13,24.89,1803.6266666666663,0.00042857142857154104
257,1803.6,24.9,1803.68,0.0009642857142857752
259,1804.48,24.86,1803.6206666666665,0.0006607142857141271
261,1801.65,24.9,1803.548,0.0015357142857144207
264,1801.09,24.91,1803.3073333333327,0.0009138911454102957
266,1800.08,24.83,1802.965333333333,-0.0006793138702714855
268,1805.06,24.82,1803.2626666666663,-0.0017598794373745363
270,1804.59,24.92,1803.402,-0.0008015855538430765
272,1805.19,24.84,1803.4666666666665,-0.0013269754768392504
274,1805.84,24.87,1803.732,-0.0020542383890871604
276,1804.14,24.94,1803.5006666666668,-0.0015925766076822934
278,1802.36,24.86,1803.506,-0.0020441303409579137
280,1802.3,24.92,1803.1573333333336,-0.00188535238713865
282,1805.06,24.86,1803.2486666666668,-0.0015504087193458187
284,1803.0,24.91,1803.2380000000005,0.00036170447038106355
286,1799.92,24.8,1803.224,-0.0004956463496316028
288,1801.06,24.89,1803.054666666667,9.087810973595216e-06
290,1803.95,24.85,1803.0193333333336,-0.0005268654984332729
292,1804.92,24.85,1803.2373333333333,-0.0004642857142856523
294,1802.9,24.91,1803.358,0.0005714285714283673
296,1802.44,24.84,1803.5153333333333,-0.00041071428571409183
298,1803.99,24.79,1803.444,-0.002178571428571559
300,1802.21,24.85,1803.2853333333333,-0.0017142857142855323
302,1801.22,24.95,1803.0206666666668,-0.0010178571428572784
304,1804.39,24.92,1802.924,-0.0004642857142857497
306,1804.25,24.86,1802.9313333333328,0.00025000000000005817
308,1803.1,24.92,1802.9806666666668,0.0007142857142855835
311,1802.82,24.93,1803.0153333333333,0.002049437159103918
312,1806.79,24.81,1803.130666666667,0.0010463491324094157
315,1802.89,24.96,1803.1233333333328,0.002666704662031254
317,1801.29,24.93,1803.2146666666663,0.002274865591397927
319,1806.23,24.85,1803.5593333333327,0.0019095227574016658
321,1807.92,24.84,1803.824,0.0009732094040457478
323,1803.99,24.87,1803.762,0.0004301075268818951
325,1804.44,24.89,1803.8646666666668,0.0008973803853648162
327,1804.06,24.94,1803.9726666666668,0.0010483870967740601
329,1802.4,24.85,1803.8666666666668,-0.0007021831215375471
331,1803.32,24.85,1803.9406666666669,-0.001757791142701052
333,1801.95,24.85,1803.9893333333332,-0.00145106053910723
335,1804.61,24.86,1804.004,-0.0012668010752689073
337,1806.88,24.83,1804.1793333333333,-0.002199361677875256
339,1807.18,24.8,1804.4513333333337,-0.002602189356002961
341,1802.52,24.83,1804.4313333333332,-0.0022681907856564793
343,1806.1,24.81,1804.3853333333327,-0.0038214285714288686
345,1797.83,24.97,1804.048,-0.0011250000000000468
347,1809.23,24.93,1804.5773333333332,0.0006250000000002494
349,1803.29,24.86,1804.3813333333333,0.0003571428571428911
351,1805.66,24.86,1804.2306666666668,-7.142857142846792e-05
354,1804.55,24.87,1804.268,2.030869212015348e-05
355,1806.46,24.81,1804.4026666666664,-0.0003417957377431408
358,1804.08,24.96,1804.404,0.002004445457654093
360,1804.22,24.96,1804.525333333333,0.0030073924731182865
362,1806.07,24.88,1804.7086666666664,0.0028187140963322342
364,1803.25,24.89,1804.795333333333,0.002711864406779668
366,1804.28,24.9,1804.773333333333,0.0027989573150861684
368,1804.92,24.92,1804.6426666666664,0.0026602078371941746
370,1802.32,24.89,1804.3186666666663,0.0016199393808186816
372,1809.57,24.83,1804.788666666666,0.00012707722385133308
374,1803.91,24.88,1804.6426666666664,-0.001066156369600854
376,1800.83,24.93,1804.8426666666664,0.0004021210782147441
378,1804.48,24.9,1804.526,0.0010567876344083262
380,1803.09,24.86,1804.5126666666663,0.0002980736350166752
382,1804.89,24.82,1804.461333333333,-0.0009811342727376487
384,1802.51,24.98,1804.325333333333,-6.614831147743154e-05
386,1803.64,24.95,1804.137333333333,-0.0006428571428570793
388,1802.53,24.89,1804.034,-4.378292411521673e-17
390,1805.41,24.86,1804.1133333333332,0.0003928571428568832
392,1804.48,24.84,1804.0073333333332,-0.0004285714285712821
394,1804.22,24.83,1804.072,-0.001160714285714306
396,1801.82,24.86,1803.908,-0.0012678571428571016
398,1804.21,24.88,1803.8606666666665,-0.0007678571428572929
400,1803.72,24.87,1803.954,-0.000750000000000288
402,1806.66,24.82,1803.76,-0.0021785714285712525
