Time	Fres	Temp
0	1785.7	25
2	1803.66	25
4	1805.11	25.13
6	1804.63	25.13
8	1803.69	25.09
10	1806.61	25.04
12	1813.34	25.03
14	1809.27	25.13
16	1798.88	25.07
19	1807.64	25.05
21	1800.64	25.07
23	1804.3	24.97
25	1808.05	25.02
27	1800.81	25.11
29	1804.49	24.99
31	1805.14	25.17
33	1806.17	25.15
35	1801.86	25.04
37	1804.33	25.11
39	1798.14	25.12
41	1808	25.05
43	1803.84	25
45	1800.9	25.24
47	1809.29	25.05
49	1806.53	25.05
51	1799.75	25.14
53	1803.24	25.09
55	1804.18	25.16
57	1810.63	25.02
59	1802.49	25.18
61	1801.2	25.09
63	1804.06	25
65	1805.63	25.06
67	1803.74	25.12
70	1801.98	25.05
72	1804.78	25.18
74	1805.68	25.06
76	1804.71	25.06
78	1803.72	25.01
80	1803.5	24.97
82	1801.56	25.13
84	1803.24	25.11
86	1804.7	25.08
88	1804.73	25.01
90	1806.2	25.05
92	1804.39	25.11
94	1803.86	24.97
96	1802.36	24.99
98	1805.69	25.06
100	1799.85	25.12
102	1800.81	25.04
104	1805.94	25.1
106	1807.4	25.06
108	1802.09	25.06
110	1802.49	25.11
112	1803.83	25.07
114	1803.57	25.07
116	1804.98	25.18
118	1803.16	25.13
120	1805.61	25.04
123	1805.18	25.03
125	1804.43	25
127	1803.4	25.01
129	1807.12	25.08
131	1804.43	25.13
133	1806.05	25.11
135	1804.81	25.12
137	1803.83	24.95
139	1802.07	25.02
141	1804.94	25.01
143	1805.96	25.13
145	1803.53	25.16
147	1803.04	25
149	1801.32	25.02
151	1805.49	25.11
153	1807.1	25.05
155	1807.25	25.02
157	1803.16	25.14
159	1805.15	25.05
161	1811.83	25.03
163	1803.92	25.02
165	1804.4	25.04
167	1804.65	25.02
169	1806.92	25.07
171	1805	25.01
173	1805.03	25.1
175	1802.22	25.07
178	1806.87	25.01
180	1801.47	24.96
182	1803.21	25.11
184	1804.45	24.98
186	1803.04	25.03
188	1798.83	25.02
190	1809.22	25.07
192	1803.39	25.05
194	1805.25	25.07
196	1807.12	25.06
198	1800.01	25.05
200	1802.95	25.14
202	1803.52	25.06
204	1808.16	25.1
206	1807.21	25.1
208	1807.51	25.08
210	1803.24	25.17
212	1807.19	25.09
214	1799.45	25.12
216	1807.7	24.89
218	1803.25	25.11
220	1802.42	25.04
222	1808.51	25.04
224	1802.72	25.1
226	1803.47	25
228	1805.74	25.16
230	1810.09	24.97
233	1801.13	24.96
235	1804.19	25.11
237	1806.18	24.99
239	1799.4	25.13
241	1805.68	25.02
243	1805.69	25.01
245	1805.8	24.99
247	1799.86	25.11
249	1808.14	25.03
