Time,Unsmoothed Fres,Temp,Fres
0,1803.97,25.07,
2,1804.82,24.87,
4,1805.78,24.92,
6,1803.37,24.94,
8,1803.57,24.91,
10,1804.78,24.95,
12,1802.08,24.86,
15,1804.41,24.94,
17,1805.81,24.96,
19,1803.09,24.95,
21,1801.46,24.88,
23,1804.08,24.95,
25,1804.24,24.92,
27,1801.81,25.05,
29,1805.59,24.89,1803.9239999999998
31,1803.08,24.89,1803.8646666666666
33,1803.61,24.87,1803.7839999999999
35,1802.4,25.03,1803.5586666666668
37,1805.28,24.88,1803.6860000000001
39,1801.86,24.93,1803.5720000000001
41,1802.94,25.04,1803.4493333333335
43,1806.09,24.89,1803.7166666666667
45,1801.66,24.91,1803.5333333333333
47,1806.69,24.91,1803.5919999999999
49,1801.81,24.94,1803.5066666666664
51,1801.7,25.0,1803.5226666666663
53,1804.58,24.98,1803.5559999999996
55,1805.8,24.92,1803.6599999999999
57,1802.52,24.93,1803.707333333333
59,1804.2,24.9,1803.6146666666664
61,1802.8,24.96,1803.5959999999998
64,1802.51,24.82,1803.5226666666665
66,1802.67,24.98,1803.5406666666668
68,1806.06,24.98,1803.592666666667
70,1803.44,24.93,1803.6979999999999
72,1804.93,24.94,1803.8306666666667
74,1801.65,24.97,1803.5346666666667
76,1803.71,24.86,1803.671333333333
78,1804.55,24.93,1803.5286666666664
80,1803.67,24.93,1803.6526666666664
82,1801.48,24.86,1803.638
84,1806.82,24.97,1803.7873333333334
86,1805.84,24.96,1803.79
88,1802.16,24.94,1803.766
90,1803.2,24.91,1803.6993333333337
92,1803.26,24.93,1803.73
94,1806.2,24.86,1803.976
96,1802.63,24.95,1803.9733333333334
98,1805.59,24.88,1803.942
100,1800.43,25.01,1803.7413333333332
102,1805.9,24.96,1803.806
104,1804.2,24.91,1803.976
106,1800.48,24.89,1803.7606666666666
108,1800.45,24.92,1803.487333333333
110,1805.14,24.85,1803.5853333333332
112,1804.69,24.88,1803.7993333333334
115,1803.28,24.95,1803.5633333333333
117,1803.55,24.89,1803.4106666666667
119,1804.46,24.94,1803.564
121,1804.93,24.92,1803.6793333333335
123,1806.15,24.9,1803.872
125,1801.62,24.89,1803.5666666666666
127,1799.23,24.95,1803.3400000000001
129,1806.01,24.78,1803.3680000000002
131,1804.42,24.87,1803.6340000000002
133,1804.33,24.95,1803.5293333333334
135,1804.4,24.93,1803.5426666666665
137,1800.72,24.88,1803.5586666666666
139,1803.68,24.84,1803.774
141,1803.8,24.95,1803.6846666666665
143,1800.61,24.86,1803.4126666666666
145,1803.34,24.83,1803.4166666666665
147,1805.69,24.9,1803.5593333333331
149,1803.04,24.95,1803.4646666666663
151,1803.25,24.95,1803.3526666666667
153,1805.56,24.92,1803.313333333333
155,1803.09,24.89,1803.411333333333
157,1806.7,24.93,1803.909333333333
159,1802.99,24.85,1803.7079999999999
161,1800.72,24.96,1803.4613333333332
164,1801.61,24.91,1803.28
166,1806.37,24.85,1803.411333333333
168,1799.28,24.92,1803.3153333333332
170,1805.5,24.91,1803.4366666666665
172,1802.61,24.96,1803.3573333333331
174,1806.47,24.9,1803.748
176,1800.03,24.96,1803.527333333333
178,1802.69,24.91,1803.327333333333
180,1801.23,24.93,1803.2066666666665
182,1803.54,24.9,1803.2259999999997
184,1804.8,24.86,1803.1753333333334
186,1801.49,24.89,1803.0686666666666
188,1806.3,24.9,1803.042
190,1804.23,24.85,1803.1246666666664
192,1804.64,24.92,1803.386
194,1802.21,24.83,1803.426
196,1802.43,24.87,1803.1633333333334
198,1802.57,24.98,1803.3826666666666
200,1801.53,24.86,1803.118
202,1803.77,24.86,1803.1953333333333
204,1802.87,24.95,1802.9553333333333
206,1803.76,24.94,1803.204
208,1801.21,24.95,1803.1053333333332
211,1802.7,24.87,1803.2033333333334
213,1803.11,24.9,1803.1746666666668
215,1802.55,24.88,1803.0246666666667
217,1801.66,24.94,1803.0360000000003
219,1804.61,24.87,1802.9233333333336
221,1802.69,24.97,1802.820666666667
223,1801.9,24.94,1802.638
225,1800.63,24.89,1802.5326666666665
227,1802.8,24.95,1802.5573333333334
229,1805.37,24.92,1802.7439999999997
231,1802.74,24.96,1802.8246666666664
233,1804.7,24.84,1802.8866666666665
235,1805.21,24.85,1803.0426666666667
237,1800.6,24.89,1802.8319999999999
239,1802.5,24.94,1802.918
241,1804.22,24.9,1803.0193333333332
243,1801.86,24.85,1802.936
245,1807.61,24.88,1803.2733333333333
247,1802.28,24.89,1803.3146666666669
249,1807.53,24.88,1803.5093333333334
251,1803.69,24.95,1803.576
253,1803.16,25.01,1803.6599999999999
255,1800.13,24.89,1803.6266666666666
257,1803.6,24.9,1803.6799999999998
259,1804.48,24.86,1803.6206666666665
261,1801.65,24.9,1803.5479999999998
264,1801.09,24.91,1803.3073333333332
266,1800.08,24.83,1802.965333333333
268,1805.06,24.82,1803.2626666666665
270,1804.59,24.92,1803.4019999999998
272,1805.19,24.84,1803.4666666666665
274,1805.84,24.87,1803.732
276,1804.14,24.94,1803.5006666666668
278,1802.36,24.86,1803.506
280,1802.3,24.92,1803.1573333333336
282,1805.06,24.86,1803.2486666666668
284,1803.0,24.91,1803.2380000000003
286,1799.92,24.8,1803.2240000000002
288,1801.06,24.89,1803.054666666667
290,1803.95,24.85,1803.0193333333336
292,1804.92,24.85,1803.2373333333335
294,1802.9,24.91,1803.3580000000002
296,1802.44,24.84,1803.5153333333333
298,1803.99,24.79,1803.4440000000002
300,1802.21,24.85,1803.2853333333335
302,1801.22,24.95,1803.0206666666668
304,1804.39,24.92,1802.9240000000002
306,1804.25,24.86,1802.9313333333332
308,1803.1,24.92,1802.9806666666668
311,1802.82,24.93,1803.0153333333333
312,1806.79,24.81,1803.130666666667
315,1802.89,24.96,1803.1233333333332
317,1801.29,24.93,1803.2146666666663
319,1806.23,24.85,1803.5593333333331
321,1807.92,24.84,1803.8239999999998
323,1803.99,24.87,1803.762
325,1804.44,24.89,1803.8646666666668
327,1804.06,24.94,1803.9726666666668
329,1802.4,24.85,1803.8666666666668
331,1803.32,24.85,1803.9406666666669
333,1801.95,24.85,1803.9893333333334
335,1804.61,24.86,1804.0040000000001
337,1806.88,24.83,1804.1793333333335
339,1807.18,24.8,1804.4513333333337
341,1802.52,24.83,1804.4313333333334
343,1806.1,24.81,1804.3853333333332
345,1797.83,24.97,1804.0480000000002
347,1809.23,24.93,1804.5773333333334
349,1803.29,24.86,1804.3813333333333
351,1805.66,24.86,1804.2306666666668
354,1804.55,24.87,1804.268
355,1806.46,24.81,1804.4026666666666
358,1804.08,24.96,1804.4039999999998
360,1804.22,24.96,1804.525333333333
362,1806.07,24.88,1804.7086666666662
364,1803.25,24.89,1804.795333333333
366,1804.28,24.9,1804.773333333333
368,1804.92,24.92,1804.6426666666664
370,1802.32,24.89,1804.3186666666663
372,1809.57,24.83,1804.7886666666661
374,1803.91,24.88,1804.6426666666662
376,1800.83,24.93,1804.8426666666662
378,1804.48,24.9,1804.5259999999996
380,1803.09,24.86,1804.5126666666663
382,1804.89,24.82,1804.461333333333
384,1802.51,24.98,1804.325333333333
386,1803.64,24.95,1804.1373333333331
388,1802.53,24.89,1804.0339999999999
390,1805.41,24.86,1804.1133333333335
392,1804.48,24.84,1804.0073333333335
394,1804.22,24.83,1804.0720000000001
396,1801.82,24.86,1803.9080000000001
398,1804.21,24.88,1803.8606666666665
400,1803.72,24.87,1803.9539999999997
402,1806.66,24.82,1803.7599999999998
404,1802.61,24.88,1803.6733333333332
407,1801.17,24.88,1803.696
409,1806.33,24.83,1803.8193333333334
411,1800.79,24.92,1803.666
413,1804.5,24.84,1803.6399999999999
415,1804.24,24.94,1803.7553333333335
417,1804.36,24.83,1803.8033333333333
419,1802.61,24.84,1803.8086666666668
421,1806.6,24.87,1803.888
423,1801.79,24.88,1803.7086666666667
425,1803.54,24.89,1803.6633333333334
427,1803.5,24.9,1803.7753333333333
429,1802.06,24.82,1803.632
431,1805.6,24.95,1803.7573333333332
433,1802.51,24.82,1803.4806666666666
435,1802.67,24.87,1803.4846666666667
437,1803.68,24.8,1803.652
439,1802.5,24.88,1803.3966666666663
441,1804.4,24.87,1803.6373333333331
443,1806.91,24.9,1803.798
445,1809.42,24.86,1804.1433333333334
447,1803.95,24.77,1804.1159999999998
449,1802.35,24.89,1804.0986666666665
451,1802.6,24.86,1803.8319999999999
453,1800.46,24.83,1803.7433333333333
455,1803.55,24.84,1803.7440000000001
458,1802.74,24.88,1803.6933333333332
460,1801.9,24.83,1803.6826666666666
462,1802.46,24.86,1803.4733333333331
464,1805.95,24.9,1803.7026666666666
466,1803.4,24.88,1803.7513333333334
468,1806.86,24.88,1803.9633333333334
470,1805.23,24.89,1804.1453333333336
472,1806.01,24.83,1804.2526666666668
474,1803.71,24.85,1804.0393333333334
476,1801.46,24.89,1803.5086666666666
478,1804.74,24.87,1803.5613333333333
480,1805.54,25.0,1803.7740000000001
482,1804.74,24.84,1803.9166666666667
484,1802.33,25.0,1804.0413333333333
486,1804.45,24.87,1804.1013333333333
488,1803.07,24.85,1804.1233333333334
490,1802.2,24.82,1804.1433333333337
492,1801.19,24.85,1804.058666666667
494,1806.87,24.89,1804.1200000000003
496,1804.29,24.92,1804.1793333333337
498,1802.89,24.89,1803.914666666667
500,1803.58,24.89,1803.804666666667
502,1802.67,24.85,1803.5819999999999
504,1804.41,24.82,1803.6286666666667
506,1802.65,24.88,1803.7080000000003
508,1804.46,24.87,1803.6893333333335
511,1805.34,24.96,1803.676
513,1803.17,24.95,1803.5713333333335
515,1802.33,24.94,1803.5713333333338
517,1802.24,24.9,1803.4240000000002
519,1805.25,24.91,1803.5693333333334
521,1803.63,24.91,1803.6646666666666
523,1804.75,24.89,1803.9019999999998
525,1806.95,24.75,1803.907333333333
527,1802.82,24.78,1803.8093333333331
529,1803.3,24.78,1803.8366666666664
531,1802.81,24.86,1803.785333333333
533,1804.71,24.92,1803.9213333333332
535,1806.63,24.89,1804.0693333333334
537,1805.18,24.9,1804.238
539,1803.27,24.84,1804.1586666666667
541,1800.6,24.86,1803.8426666666667
543,1801.72,24.92,1803.7460000000003
545,1802.2,24.95,1803.7373333333335
547,1802.92,24.93,1803.782666666667
549,1804.86,24.92,1803.756666666667
551,1804.48,24.92,1803.8133333333333
553,1802.09,24.93,1803.636
555,1804.13,24.95,1803.4479999999999
557,1804.27,24.82,1803.5446666666667
559,1803.08,24.87,1803.5299999999997
561,1801.39,24.87,1803.4353333333331
564,1806.61,24.9,1803.562
566,1803.53,24.9,1803.3553333333332
568,1806.63,24.86,1803.4519999999998
570,1801.47,24.84,1803.3319999999999
572,1802.1,24.87,1803.4319999999998
574,1804.03,24.88,1803.5859999999996
576,1802.85,24.93,1803.629333333333
578,1801.04,24.87,1803.5039999999997
580,1806.58,24.86,1803.6186666666667
582,1803.0,24.87,1803.5200000000002
584,1802.38,24.87,1803.5393333333334
586,1802.67,24.92,1803.442
588,1802.46,24.87,1803.3213333333335
590,1800.69,24.92,1803.1620000000003
592,1800.46,24.85,1803.1
