Time,Unsmoothed Fres,Temp,Fres
0,1791.1,25.38,
2,1799.62,25.38,
4,1804.35,25.44,
6,1802.29,25.47,
8,1803.28,25.36,
10,1803.06,25.45,
12,1800.49,25.4,
14,1799.5,25.46,
16,1799.34,25.38,
18,1802.05,25.46,
20,1805.27,25.42,
22,1803.63,25.42,
24,1800.47,25.46,
26,1803.43,25.46,
28,1804.51,25.43,1801.4926666666665
30,1803.72,25.46,1802.334
32,1801.53,25.4,1802.4613333333334
34,1796.45,25.42,1801.9346666666668
37,1800.52,25.39,1801.8166666666668
39,1801.46,25.51,1801.6953333333336
41,1809.18,25.46,1802.1033333333335
43,1803.88,25.42,1802.3293333333334
45,1801.52,25.5,1802.464
47,1801.77,25.44,1802.626
49,1801.27,25.45,1802.5739999999998
51,1803.65,25.45,1802.466
53,1801.35,25.47,1802.3139999999999
55,1799.45,25.47,1802.2459999999999
57,1801.16,25.47,1802.0946666666666
59,1803.8,25.51,1802.0473333333332
61,1804.74,25.53,1802.1153333333332
63,1802.89,25.4,1802.206
65,1802.35,25.5,1802.5993333333333
67,1806.4,25.36,1802.9913333333334
69,1805.6,25.44,1803.2673333333335
71,1801.1,25.38,1802.7286666666666
73,1807.98,25.37,1803.002
75,1799.67,25.45,1802.8786666666665
77,1803.4,25.39,1802.9873333333333
79,1799.39,25.45,1802.8619999999999
81,1800.86,25.38,1802.676
83,1802.2,25.43,1802.7326666666668
86,1800.89,25.34,1802.8286666666668
88,1804.23,25.32,1803.0333333333333
90,1801.95,25.31,1802.9099999999999
92,1802.5,25.42,1802.7606666666668
94,1801.9,25.5,1802.6946666666668
96,1801.98,25.38,1802.67
98,1801.4,25.43,1802.3366666666666
100,1802.44,25.33,1802.1260000000002
102,1800.16,25.42,1802.0633333333335
104,1801.61,25.44,1801.6386666666667
106,1800.95,25.43,1801.724
108,1798.6,25.45,1801.4039999999998
110,1801.63,25.35,1801.5533333333333
112,1800.91,25.37,1801.5566666666668
114,1801.35,25.39,1801.5000000000002
116,1802.66,25.4,1801.6180000000002
118,1801.81,25.55,1801.456666666667
120,1801.05,25.45,1801.396666666667
122,1803.19,25.53,1801.4426666666664
124,1801.48,25.46,1801.4146666666666
126,1802.29,25.47,1801.4353333333331
128,1802.81,25.39,1801.5293333333332
130,1802.68,25.39,1801.545333333333
132,1805.21,25.27,1801.882
134,1804.05,25.37,1802.0446666666667
137,1800.95,25.46,1802.0446666666667
139,1803.42,25.37,1802.366
141,1799.78,25.42,1802.2426666666665
143,1805.39,25.36,1802.5413333333331
145,1802.58,25.38,1802.6233333333332
147,1802.6,25.33,1802.6193333333333
149,1801.28,25.38,1802.5840000000003
151,1801.55,25.37,1802.6173333333334
153,1803.29,25.33,1802.6239999999998
155,1803.11,25.4,1802.7326666666663
157,1804.82,25.4,1802.9013333333332
159,1801.05,25.4,1802.7839999999999
161,1803.48,25.42,1802.837333333333
163,1805.07,25.42,1802.8279999999995
165,1804.71,25.42,1802.8719999999998
167,1802.44,25.38,1802.9713333333332
169,1802.65,25.41,1802.9199999999998
171,1802.46,25.42,1803.0986666666665
173,1802.61,25.43,1802.9133333333332
175,1801.4,25.31,1802.8346666666664
177,1802.22,25.32,1802.8093333333331
180,1803.82,25.36,1802.9786666666664
182,1803.84,25.35,1803.1313333333333
184,1800.72,25.33,1802.9599999999998
186,1803.59,25.33,1802.9919999999997
188,1800.29,25.42,1802.6899999999998
190,1801.39,25.42,1802.7126666666668
192,1803.74,25.33,1802.7300000000002
194,1805.52,25.37,1802.7600000000004
196,1803.67,25.4,1802.6906666666669
198,1805.61,25.34,1802.9020000000003
200,1802.92,25.35,1802.9200000000003
202,1802.73,25.3,1802.938
204,1803.19,25.39,1802.9766666666667
206,1800.57,25.38,1802.9213333333332
208,1803.4,25.37,1803.0
210,1801.67,25.31,1802.8566666666668
212,1801.94,25.34,1802.73
214,1803.78,25.37,1802.9339999999997
216,1804.47,25.33,1802.9926666666665
218,1802.99,25.43,1803.1726666666664
220,1805.71,25.33,1803.4606666666664
222,1803.84,25.34,1803.4673333333333
224,1798.69,25.33,1803.012
226,1804.36,25.41,1803.058
228,1807.61,25.37,1803.191333333333
231,1800.82,25.41,1803.0513333333333
233,1802.07,25.34,1803.007333333333
235,1799.53,25.34,1802.7633333333329
237,1796.26,25.44,1802.4759999999999
239,1801.15,25.33,1802.3259999999996
241,1799.61,25.36,1802.1886666666662
243,1802.84,25.38,1802.2486666666662
245,1803.39,25.37,1802.222666666666
247,1801.79,25.37,1802.0439999999996
249,1801.69,25.35,1801.9573333333328
251,1801.75,25.39,1801.693333333333
253,1803.24,25.4,1801.653333333333
255,1802.77,25.39,1801.9253333333331
257,1803.53,25.37,1801.8699999999997
259,1804.87,25.35,1801.6873333333328
