Time	Fres	Temp
0	1803.97	25.07
2	1804.82	24.87
4	1805.78	24.92
6	1803.37	24.94
8	1803.57	24.91
10	1804.78	24.95
12	1802.08	24.86
15	1804.41	24.94
17	1805.81	24.96
19	1803.09	24.95
21	1801.46	24.88
23	1804.08	24.95
25	1804.24	24.92
27	1801.81	25.05
29	1805.59	24.89
31	1803.08	24.89
33	1803.61	24.87
35	1802.4	25.03
37	1805.28	24.88
39	1801.86	24.93
41	1802.94	25.04
43	1806.09	24.89
45	1801.66	24.91
47	1806.69	24.91
49	1801.81	24.94
51	1801.7	25
53	1804.58	24.98
55	1805.8	24.92
57	1802.52	24.93
59	1804.2	24.9
61	1802.8	24.96
64	1802.51	24.82
66	1802.67	24.98
68	1806.06	24.98
70	1803.44	24.93
72	1804.93	24.94
74	1801.65	24.97
76	1803.71	24.86
78	1804.55	24.93
80	1803.67	24.93
82	1801.48	24.86
84	1806.82	24.97
86	1805.84	24.96
88	1802.16	24.94
90	1803.2	24.91
92	1803.26	24.93
94	1806.2	24.86
96	1802.63	24.95
98	1805.59	24.88
100	1800.43	25.01
102	1805.9	24.96
104	1804.2	24.91
106	1800.48	24.89
108	1800.45	24.92
110	1805.14	24.85
112	1804.69	24.88
115	1803.28	24.95
117	1803.55	24.89
119	1804.46	24.94
121	1804.93	24.92
123	1806.15	24.9
125	1801.62	24.89
127	1799.23	24.95
129	1806.01	24.78
131	1804.42	24.87
133	1804.33	24.95
135	1804.4	24.93
137	1800.72	24.88
139	1803.68	24.84
141	1803.8	24.95
143	1800.61	24.86
145	1803.34	24.83
147	1805.69	24.9
149	1803.04	24.95
151	1803.25	24.95
153	1805.56	24.92
155	1803.09	24.89
157	1806.7	24.93
159	1802.99	24.85
161	1800.72	24.96
164	1801.61	24.91
166	1806.37	24.85
168	1799.28	24.92
170	1805.5	24.91
172	1802.61	24.96
174	1806.47	24.9
176	1800.03	24.96
178	1802.69	24.91
180	1801.23	24.93
182	1803.54	24.9
184	1804.8	24.86
186	1801.49	24.89
188	1806.3	24.9
190	1804.23	24.85
192	1804.64	24.92
194	1802.21	24.83
196	1802.43	24.87
198	1802.57	24.98
200	1801.53	24.86
202	1803.77	24.86
204	1802.87	24.95
206	1803.76	24.94
208	1801.21	24.95
211	1802.7	24.87
213	1803.11	24.9
215	1802.55	24.88
217	1801.66	24.94
219	1804.61	24.87
221	1802.69	24.97
223	1801.9	24.94
225	1800.63	24.89
227	1802.8	24.95
229	1805.37	24.92
231	1802.74	24.96
233	1804.7	24.84
235	1805.21	24.85
237	1800.6	24.89
239	1802.5	24.94
241	1804.22	24.9
243	1801.86	24.85
245	1807.61	24.88
247	1802.28	24.89
249	1807.53	24.88
251	1803.69	24.95
253	1803.16	25.01
255	1800.13	24.89
257	1803.6	24.9
259	1804.48	24.86
261	1801.65	24.9
264	1801.09	24.91
266	1800.08	24.83
268	1805.06	24.82
270	1804.59	24.92
272	1805.19	24.84
274	1805.84	24.87
276	1804.14	24.94
278	1802.36	24.86
280	1802.3	24.92
282	1805.06	24.86
284	1803	24.91
286	1799.92	24.8
288	1801.06	24.89
290	1803.95	24.85
292	1804.92	24.85
294	1802.9	24.91
296	1802.44	24.84
298	1803.99	24.79
300	1802.21	24.85
302	1801.22	24.95
304	1804.39	24.92
306	1804.25	24.86
308	1803.1	24.92
311	1802.82	24.93
312	1806.79	24.81
315	1802.89	24.96
317	1801.29	24.93
319	1806.23	24.85
321	1807.92	24.84
323	1803.99	24.87
325	1804.44	24.89
327	1804.06	24.94
329	1802.4	24.85
331	1803.32	24.85
333	1801.95	24.85
335	1804.61	24.86
337	1806.88	24.83
339	1807.18	24.8
341	1802.52	24.83
343	1806.1	24.81
345	1797.83	24.97
347	1809.23	24.93
349	1803.29	24.86
351	1805.66	24.86
354	1804.55	24.87
355	1806.46	24.81
358	1804.08	24.96
360	1804.22	24.96
362	1806.07	24.88
364	1803.25	24.89
366	1804.28	24.9
368	1804.92	24.92
370	1802.32	24.89
372	1809.57	24.83
374	1803.91	24.88
376	1800.83	24.93
378	1804.48	24.9
380	1803.09	24.86
382	1804.89	24.82
384	1802.51	24.98
386	1803.64	24.95
388	1802.53	24.89
390	1805.41	24.86
392	1804.48	24.84
394	1804.22	24.83
396	1801.82	24.86
398	1804.21	24.88
400	1803.72	24.87
402	1806.66	24.82
404	1802.61	24.88
407	1801.17	24.88
409	1806.33	24.83
411	1800.79	24.92
413	1804.5	24.84
415	1804.24	24.94
417	1804.36	24.83
419	1802.61	24.84
421	1806.6	24.87
423	1801.79	24.88
425	1803.54	24.89
427	1803.5	24.9
429	1802.06	24.82
431	1805.6	24.95
433	1802.51	24.82
435	1802.67	24.87
437	1803.68	24.8
439	1802.5	24.88
441	1804.4	24.87
443	1806.91	24.9
445	1809.42	24.86
447	1803.95	24.77
449	1802.35	24.89
451	1802.6	24.86
453	1800.46	24.83
455	1803.55	24.84
458	1802.74	24.88
460	1801.9	24.83
462	1802.46	24.86
464	1805.95	24.9
466	1803.4	24.88
468	1806.86	24.88
470	1805.23	24.89
472	1806.01	24.83
474	1803.71	24.85
476	1801.46	24.89
478	1804.74	24.87
480	1805.54	25
482	1804.74	24.84
484	1802.33	25
486	1804.45	24.87
488	1803.07	24.85
490	1802.2	24.82
492	1801.19	24.85
494	1806.87	24.89
496	1804.29	24.92
498	1802.89	24.89
500	1803.58	24.89
502	1802.67	24.85
504	1804.41	24.82
506	1802.65	24.88
508	1804.46	24.87
511	1805.34	24.96
513	1803.17	24.95
515	1802.33	24.94
517	1802.24	24.9
519	1805.25	24.91
521	1803.63	24.91
523	1804.75	24.89
525	1806.95	24.75
527	1802.82	24.78
529	1803.3	24.78
531	1802.81	24.86
533	1804.71	24.92
535	1806.63	24.89
537	1805.18	24.9
539	1803.27	24.84
541	1800.6	24.86
543	1801.72	24.92
545	1802.2	24.95
547	1802.92	24.93
549	1804.86	24.92
551	1804.48	24.92
553	1802.09	24.93
555	1804.13	24.95
557	1804.27	24.82
559	1803.08	24.87
561	1801.39	24.87
564	1806.61	24.9
566	1803.53	24.9
568	1806.63	24.86
570	1801.47	24.84
572	1802.1	24.87
574	1804.03	24.88
576	1802.85	24.93
578	1801.04	24.87
580	1806.58	24.86
582	1803	24.87
584	1802.38	24.87
586	1802.67	24.92
588	1802.46	24.87
590	1800.69	24.92
592	1800.46	24.85
594	1798.1	24.87
596	1799.65	24.91
598	1801.38	24.84
600	1799.13	24.87
602	1796.44	24.77
604	1795.74	24.85
606	1796.7	24.71
608	1795.08	24.77
610	1795.62	24.73
612	1797.38	24.69
614	1795.15	24.74
617	1794.28	24.76
619	1793.11	24.63
621	1795.38	24.57
623	1796.43	24.56
625	1796.59	24.63
627	1792.92	24.46
629	1791.64	24.54
631	1790.01	24.42
633	1790.3	24.48
635	1789.81	24.41
637	1794.78	24.29
639	1790.11	24.31
641	1790.73	24.3
643	1789.31	24.22
645	1793.79	24.15
647	1789.54	24.08
649	1791.4	23.99
651	1791.05	24.03
653	1789.23	23.9
655	1793.74	24
657	1787.01	23.86
659	1789.52	23.8
661	1790	23.76
663	1787.28	23.68
665	1786.13	23.63
667	1791.45	23.58
670	1789.07	23.61
674	1787.34	23.45
676	1794.3	23.37
678	1788.78	23.31
680	1789.28	23.3
682	1787.6	23.32
684	1788.18	23.24
686	1787.67	23.12
688	1787.05	23.18
690	1787.57	23.13
692	1787.1	23.03
694	1784	23.03
696	1790.34	22.95
698	1791.13	23.01
700	1786.57	22.9
702	1785.91	22.83
704	1790.2	22.81
706	1786.25	22.7
708	1786.98	22.66
710	1786.21	22.73
712	1786.16	22.58
714	1786.42	22.52
716	1784.63	22.49
719	1786.54	22.41
721	1784.32	22.38
723	1785.96	22.37
725	1784.73	22.32
727	1790.26	22.25
729	1782.23	22.28
731	1787.16	22.27
733	1785.85	22.22
735	1783.94	22.16
737	1792.9	22.09
739	1782.35	22.01
741	1794.25	21.99
743	1784.45	22.02
745	1784.6	21.97
747	1781.6	21.94
749	1784.89	21.84
751	1784.49	21.86
753	1783.87	21.76
755	1786.09	21.84
757	1787.74	21.78
759	1785.86	21.77
761	1787.72	21.67
763	1785.53	21.65
766	1783.22	21.62
768	1781.4	21.54
770	1786.73	21.56
772	1786.18	21.56
774	1782.21	21.39
776	1784.74	21.49
778	1787.52	21.42
780	1781.5	21.39
782	1785.13	21.35
784	1789.42	21.33
786	1782.44	21.32
788	1773.07	21.2
790	1781.36	21.28
792	1784.95	21.28
794	1784.73	21.22
796	1785.07	21.17
798	1781.7	21.09
800	1785.9	21.13
802	1786.36	21.09
804	1786.95	21.06
806	1782.63	21.04
808	1789.12	21.05
810	1782.98	20.95
812	1786.72	20.95
814	1782.47	20.95
816	1787.81	20.9
819	1777.96	20.98
821	1779.1	20.89
823	1784.9	20.82
825	1782.94	20.82
827	1782.64	20.8
829	1785.13	20.82
831	1783.61	20.69
833	1785.05	20.76
835	1783.28	20.78
837	1784.67	20.68
839	1783.59	20.73
841	1781.6	20.72
843	1785.51	20.7
845	1785.78	20.62
847	1784.13	20.63
849	1781.75	20.58
851	1782.1	20.59
853	1783.89	20.6
855	1782.9	20.6
857	1782.25	20.51
859	1782.97	20.46
861	1782.32	20.44
863	1782.63	20.47
865	1779.58	20.45
867	1782.62	20.43
869	1784.57	20.55
872	1783.53	20.45
874	1780.75	20.31
876	1781.34	20.37
878	1781.79	20.36
880	1782.2	20.31
882	1786.19	20.32
884	1779.92	20.35
886	1782.59	20.28
888	1779.95	20.3
890	1785.1	20.3
892	1783.29	20.22
894	1782.99	20.22
896	1783.03	20.26
898	1779.25	20.15
900	1779.92	20.17
902	1783.25	20.22
904	1786.98	20.18
906	1781.17	20.14
908	1784.26	20.11
910	1781.39	20.2
912	1781.14	20.11
914	1781.07	20.1
916	1783.06	20.14
918	1782.73	20.17
920	1782.79	20.13
922	1781.79	20.09
924	1783.08	20.02
927	1782.49	20.04
929	1780.59	19.99
931	1787.19	20.06
933	1778.86	20.01
935	1782.15	19.93
937	1780.78	19.93
939	1785.25	19.99
941	1782.47	20.05
943	1779.73	19.93
945	1782.43	19.96
947	1782.12	19.89
949	1780.35	19.94
951	1778.86	19.84
953	1781.75	19.92
955	1782.91	19.86
957	1783.57	19.9
959	1780.03	19.89
961	1784.64	19.87
963	1779.78	19.86
965	1782.93	19.84
967	1783.19	19.87
969	1782	19.76
971	1782.33	19.78
973	1782.49	19.85
975	1781.53	19.76
978	1783.41	19.83
980	1783.1	19.81
982	1780.84	19.74
984	1782.83	19.72
986	1780.15	19.78
988	1783.9	19.8
990	1783.11	19.87
992	1784.48	19.71
994	1782.95	19.69
996	1783.52	19.76
998	1783.74	19.8
1000	1780.57	19.83
1002	1783.41	19.67
1004	1783.03	19.72
1006	1785.88	19.68
1008	1788.21	19.72
1010	1781.04	19.72
1012	1783.82	19.68
1014	1779.16	19.71
1016	1783.2	19.67
1018	1783.02	19.66
1020	1781.86	19.6
1022	1780.18	19.64
1024	1786.71	19.62
1026	1781.11	19.68
1028	1780.69	19.67
