Time	Fres	Temp
0	1791.1	25.38
2	1799.62	25.38
4	1804.35	25.44
6	1802.29	25.47
8	1803.28	25.36
10	1803.06	25.45
12	1800.49	25.4
14	1799.5	25.46
16	1799.34	25.38
18	1802.05	25.46
20	1805.27	25.42
22	1803.63	25.42
24	1800.47	25.46
26	1803.43	25.46
28	1804.51	25.43
30	1803.72	25.46
32	1801.53	25.4
34	1796.45	25.42
37	1800.52	25.39
39	1801.46	25.51
41	1809.18	25.46
43	1803.88	25.42
45	1801.52	25.5
47	1801.77	25.44
49	1801.27	25.45
51	1803.65	25.45
53	1801.35	25.47
55	1799.45	25.47
57	1801.16	25.47
59	1803.8	25.51
61	1804.74	25.53
63	1802.89	25.4
65	1802.35	25.5
67	1806.4	25.36
69	1805.6	25.44
71	1801.1	25.38
73	1807.98	25.37
75	1799.67	25.45
77	1803.4	25.39
79	1799.39	25.45
81	1800.86	25.38
83	1802.2	25.43
86	1800.89	25.34
88	1804.23	25.32
90	1801.95	25.31
92	1802.5	25.42
94	1801.9	25.5
96	1801.98	25.38
98	1801.4	25.43
100	1802.44	25.33
102	1800.16	25.42
104	1801.61	25.44
106	1800.95	25.43
108	1798.6	25.45
110	1801.63	25.35
112	1800.91	25.37
114	1801.35	25.39
116	1802.66	25.4
118	1801.81	25.55
120	1801.05	25.45
122	1803.19	25.53
124	1801.48	25.46
126	1802.29	25.47
128	1802.81	25.39
130	1802.68	25.39
132	1805.21	25.27
134	1804.05	25.37
137	1800.95	25.46
139	1803.42	25.37
141	1799.78	25.42
143	1805.39	25.36
145	1802.58	25.38
147	1802.6	25.33
149	1801.28	25.38
151	1801.55	25.37
153	1803.29	25.33
155	1803.11	25.4
157	1804.82	25.4
159	1801.05	25.4
161	1803.48	25.42
163	1805.07	25.42
165	1804.71	25.42
167	1802.44	25.38
169	1802.65	25.41
171	1802.46	25.42
173	1802.61	25.43
175	1801.4	25.31
177	1802.22	25.32
180	1803.82	25.36
182	1803.84	25.35
184	1800.72	25.33
186	1803.59	25.33
188	1800.29	25.42
190	1801.39	25.42
192	1803.74	25.33
194	1805.52	25.37
196	1803.67	25.4
198	1805.61	25.34
200	1802.92	25.35
202	1802.73	25.3
204	1803.19	25.39
206	1800.57	25.38
208	1803.4	25.37
210	1801.67	25.31
212	1801.94	25.34
214	1803.78	25.37
216	1804.47	25.33
218	1802.99	25.43
220	1805.71	25.33
222	1803.84	25.34
224	1798.69	25.33
226	1804.36	25.41
228	1807.61	25.37
231	1800.82	25.41
233	1802.07	25.34
235	1799.53	25.34
237	1796.26	25.44
239	1801.15	25.33
241	1799.61	25.36
243	1802.84	25.38
245	1803.39	25.37
247	1801.79	25.37
249	1801.69	25.35
251	1801.75	25.39
253	1803.24	25.4
255	1802.77	25.39
257	1803.53	25.37
259	1804.87	25.35
261	1802.64	25.43
263	1801.9	25.34
265	1802.23	25.35
267	1803.57	25.34
269	1802.25	25.3
271	1802.53	25.3
273	1803.54	25.39
275	1803.3	25.3
277	1798.68	25.3
279	1798.48	25.29
281	1801.94	25.31
284	1807.34	25.33
286	1801.91	25.3
288	1801.95	25.28
290	1799.01	25.33
292	1801.96	25.31
294	1803.46	25.38
296	1804.26	25.36
298	1801.54	25.37
300	1802.39	25.36
302	1802.79	25.29
304	1799.46	25.37
306	1806.37	25.3
308	1802.18	25.3
310	1806.88	25.36
312	1800.04	25.35
314	1802.72	25.37
316	1806.66	25.29
318	1804.3	25.28
320	1805.03	25.36
322	1804.94	25.28
324	1800.09	25.36
326	1804.62	25.38
328	1801.69	25.31
330	1803.81	25.26
332	1807.02	25.26
334	1801.17	25.33
336	1802.2	25.39
339	1806.01	25.32
341	1803.78	25.34
343	1803.25	25.28
345	1803.49	25.33
347	1799.3	25.29
349	1801.37	25.35
351	1804.63	25.33
353	1803.49	25.31
355	1802.04	25.35
357	1804.09	25.35
359	1804.28	25.32
361	1802.06	25.28
363	1804.46	25.37
365	1803.28	25.35
367	1801.28	25.34
369	1803.86	25.31
371	1805.4	25.31
373	1804.5	25.32
375	1802.82	25.42
377	1803.18	25.42
379	1803.47	25.3
381	1802.51	25.35
383	1799.41	25.35
386	1803.41	25.32
388	1804.77	25.27
390	1800.82	25.31
392	1803.45	25.3
394	1803.91	25.34
396	1799.86	25.34
398	1803.51	25.31
400	1803.95	25.28
402	1802.54	25.32
404	1800.65	25.28
406	1802.48	25.26
408	1801.13	25.38
410	1804.6	25.36
412	1803.96	25.24
414	1804.97	25.3
416	1801.51	25.32
418	1803.2	25.33
420	1800.5	25.28
422	1802.5	25.36
424	1803.34	25.32
426	1803.73	25.3
428	1802.22	25.4
430	1806.78	25.39
433	1801.96	25.3
435	1801.42	25.3
437	1803.5	25.37
439	1813.86	25.3
